#gen	pop-size	worst	best	median	average	std-deviation
0	50	1000	69.18864962	1000	630.7753327	422.2926241
1	50	1000	69.18864962	136.2845649	183.8056116	184.0603375
2	50	1000	69.18864962	136.1445588	291.5189598	339.0593994
3	50	1000	69.18864962	136.1995662	206.5611969	247.0772241
4	50	1000	69.17769528	155.3116711	319.4074807	347.9298706
5	50	1000	69.17769528	117.248687	313.1879266	370.2570156
6	50	1000	69.13148354	173.3152542	435.560294	426.2518256
7	50	1000	69.13148354	136.0641877	239.530324	290.8629516
8	50	1000	69.13148354	136.3281871	335.4847253	378.2693576
9	50	1000	69.13148354	136.2027262	374.5264491	394.3543649
10	50	1000	69.13148354	1000	596.164748	439.2274445
11	50	1000	69.06322935	140.4592875	408.2874236	409.7674276
12	50	1000	69.06322935	335.5353036	544.3590141	441.5242435
13	50	1000	69.06322935	238.0643867	519.4660463	429.7053374
14	50	1000	69.06322935	303.9210113	539.0154684	431.1785487
15	50	1000	69.06322935	137.4381129	293.4714144	318.9077941
16	50	1000	69.03143766	142.7282079	339.3661043	358.2105839
17	50	1000	69.03143766	136.004473	393.4202806	418.0743646
18	50	1000	64.85413517	136.8500602	356.745937	385.8311996
19	50	1000	64.85413517	202.0493936	428.9004135	414.2355571
20	50	1000	64.85413517	135.7923268	319.119868	367.9551644
21	50	1000	64.85413517	119.6199354	210.9575787	269.6713548
22	50	1000	64.85413517	136.5809597	433.2503259	428.6798349
23	50	1000	64.85413517	153.920632	323.0523486	346.8250522
24	50	1000	64.85413517	205.3653619	465.0695643	422.9607526
25	50	1000	64.85413517	136.2531819	305.7811259	353.968475
26	50	1000	64.85413517	202.2927035	420.096878	403.7592771
27	50	1000	64.85413517	208.6476368	463.2787085	410.5150645
28	50	1000	64.85413517	170.1211147	364.57146	382.1241846
29	50	1000	64.85413517	202.4175894	461.6454818	425.7814262
30	50	1000	64.85413517	202.1809337	456.7167515	428.0323686
31	50	1000	64.85413517	641.1246413	567.3265192	436.1980587
32	50	1000	64.85413517	138.306809	423.3652343	417.9900922
33	50	1000	64.85413517	1000	573.2679064	446.8228213
34	50	1000	64.85413517	171.2982806	414.8649627	409.9353373
35	50	1000	64.85413517	1000	597.219333	439.0111485
36	50	1000	64.85413517	202.1879397	411.9514062	407.6991449
37	50	1000	64.85413517	146.641599	331.4905607	362.6111974
38	50	1000	64.85413517	136.026037	202.7015418	243.8242826
39	50	1000	64.85413517	144.5475028	429.4936018	415.6962847
40	50	1000	64.85413517	138.859026	372.5022207	396.0106695
41	50	1000	64.85413517	236.8053425	450.6197746	416.5335739
42	50	1000	64.85413517	235.279315	510.0199047	439.0221665
43	50	1000	64.85413517	202.1020859	458.1095495	426.9662086
44	50	1000	64.85413517	178.6749343	422.2022496	417.1877449
45	50	1000	64.85413517	136.4585263	349.8202766	390.9863976
46	50	1000	64.85413517	150.3224802	426.7550316	415.4127753
47	50	1000	64.85413517	136.6391329	290.1195554	338.9499984
48	50	1000	64.85413517	202.0354324	438.157929	412.7314088
49	50	1000	64.85413517	136.3448412	330.3483851	360.8407852
50	50	1000	64.85413517	202.3745449	392.36329	387.5048341
51	50	1000	64.85413517	179.045803	363.5617173	370.1602877
52	50	1000	64.85413517	202.2470706	477.1031753	431.0173721
53	50	1000	64.85413517	268.9494533	553.9240371	432.4035573
54	50	1000	64.85413517	136.0671526	272.5932563	325.8226116
55	50	1000	64.85413517	123.7859939	274.2839265	328.6110831
56	50	1000	64.85413517	135.843457	316.2405141	368.7928237
57	50	1000	64.85413517	138.121159	410.309242	425.296342
58	50	1000	64.85413517	149.6301867	376.1194695	394.9461437
59	50	1000	64.85413517	136.3190696	414.4424098	424.6090176
60	50	1000	64.85413517	139.2772171	426.0526576	415.7877727
61	50	1000	64.85413517	136.2111851	377.25114	393.2650958
62	50	1000	64.85413517	268.3507897	533.5892286	433.5765203
63	50	1000	64.85413517	202.6888109	432.403892	412.4509034
64	50	1000	64.85413517	202.2247455	326.0761646	346.9101701
65	50	1000	64.85413517	269.4268234	551.2586755	434.2520714
66	50	1000	64.85413517	183.7629942	483.1692267	442.1532424
67	50	1000	64.85413517	202.2214905	458.7220557	426.9343108
68	50	1000	64.85413517	202.6173695	498.4443354	429.2169002
69	50	1000	64.85413517	136.3088002	357.8476777	387.7636734
70	50	1000	64.85413517	202.2095123	440.5062867	423.791272
71	50	1000	64.85413517	1000	723.3957216	405.8444874
72	50	1000	64.85413517	135.9169537	279.0517919	324.9350904
73	50	1000	64.85413517	136.3274209	179.6696793	186.6116028
74	50	1000	64.85413517	95.16193327	191.0776523	222.5196315
75	50	1000	64.85413517	268.6580611	456.6743397	415.1762674
76	50	1000	17.00969809	302.0826196	547.8920766	437.9530846
77	50	1000	17.00969809	202.4271964	495.0777502	432.2884425
78	50	1000	17.00969809	268.8215666	506.4234162	426.0479656
79	50	1000	17.00969809	171.7905053	350.3385375	371.6240794
80	50	1000	17.00969809	146.4342862	396.4326257	400.3376716
